School,Total New Cases,Total Cumulative Cases,Total New Exposures,Total Cumulative Exposures
District,4,299,14,2,583
Akins,0,5,0,24
ALC,0,1,0,0
Allison,0,5,0,18
Anderson,0,7,0,158
Andrews,0,4,0,46
Ann Richards YWLA,0,7,0,14
Austin,0,22,0,552
Bailey,0,1,0,0
Baldwin,0,0,0,0
Baranoff,0,1,0,8
Barrington,0,1,0,0
Barton Hills,0,2,0,0
Bear Creek,0,1,0,17
Becker,0,0,0,0
Bedichek,1,3,4,4
Blackshear,0,0,0,0
Blanton,0,4,0,74
Blazier,0,10,0,61
Boone,0,2,0,7
Bowie,0,8,0,90
Brentwood,0,1,0,8
Bryker Woods,0,2,0,5
Burnet,0,0,0,0
Campbell,0,1,0,0
Casey,0,2,0,23
Casis,0,2,0,5
Clayton,0,1,0,10
Clifton Center,0,0,0,0
Cook,0,1,0,6
Covington,0,0,0,0
Cowan,0,3,0,11
Crockett,0,6,0,63
Cunningham,0,2,0,9
Davis,0,1,0,12
Dawson,0,1,0,0
Dobie,0,6,0,7
Doss,0,6,0,48
Eastside Memorial,0,4,0,17
Galindo,0,2,0,26
Garcia YMLA,0,3,0,12
Garza Independence,0,1,0,7
Gorzycki,0,1,0,35
Govalle,0,3,0,29
Graduation Preparatory Academy at Navarro ECHS,0,0,0,0
Graduation Preparatory Academy at Travis ECHS,0,1,0,0
Graham,0,1,0,12
Guerrero-Thompson,0,0,0,0
Gullett,0,1,0,14
Harris,0,1,0,0
Hart,0,2,0,16
Highland Park,0,0,0,0
Hill,0,2,0,4
Houston,1,3,7,11
International HS,0,1,0,0
Jordan,0,2,0,0
Joslin,0,1,0,3
Kealing,0,2,0,6
Kiker,0,2,0,24
Kocurek,0,0,0,0
Lamar,0,5,0,26
Langford,0,6,0,19
LASA,0,2,0,11
LBJ ECHS,0,5,0,54
Lee,0,5,0,22
Linder,0,1,0,0
Lively,0,6,0,97
Maplewood,0,2,0,2
Martin,0,3,0,9
Mathews,0,0,0,0
McBee,0,2,0,35
McCallum,0,7,0,118
Menchaca,0,2,0,13
Mendez,0,2,0,1
Metz,0,0,0,0
Mills,0,2,0,10
Murchison,0,7,0,17
Navarro ECHS,0,4,0,26
Norman-Sims,0,0,0,0
Northeast ECHS,1,4,3,21
O. Henry,0,3,0,10
Oak Hill,0,2,0,17
Oak Springs,0,0,0,0
Odom,0,1,0,11
Ortega,0,2,0,18
Overton,0,3,0,1
Padron,0,2,0,7
Palm,0,2,0,13
Paredes,0,1,0,0
Patton,0,3,0,18
Pecan Springs,0,1,0,0
Perez,0,0,0,0
Pickle,0,0,0,0
Pillow,0,0,0,0
Pleasant Hill,0,0,0,0
Reilly,0,2,0,17
Ridgetop,0,2,0,8
Rodriguez,0,0,0,0
Rosedale School,0,1,0,0
Sadler Means YWLA,0,0,0,0
Sanchez,0,0,0,0
Small,0,1,0,0
St. Elmo,0,0,0,0
Summitt,0,5,0,93
Sunset Valley,0,1,0,0
T.A. Brown,0,1,0,0
Travis ECHS,0,5,0,153
Travis Heights,0,3,0,43
Uphaus ECS,0,1,0,13
Walnut Creek,0,2,0,33
Webb,0,2,0,0
Widen,0,1,0,1
Williams,0,6,0,58
Winn,0,1,0,8
Wooldridge,0,1,0,35
Wooten,0,3,0,7
Zavala,0,0,0,0
Zilker,0,3,0,2
Central Office,1,8,0,22
Other,0,13,0,18
